LocMailCnt,count,timestamp,gear,tsns.hasTemp,tsns.temp,Gyro.hasTemp,Gryo.temp,Gyro.hasX,Gyro.x,Gyro.hasY,Gyro.y,Gyro.hasZ,Gyro.z,Gsns.hasTemp,Gsns.temp,Gsns.hasX,Gsns.x,Gsns.hasY,Gsns.y,Gsns.hasZ,Gsns.z,Pls.cycleTime,Pls.cycleCount,Pls.pulseCount
13186,144,1323480,1,0,0,1,34,1,30.400013,1,-101.600044,1,-41.800018,0,0,1,-656.793335,1,403.395874,1,16498.63281,0,0,0
13186,144,1323480,1,0,0,1,34,1,27.600012,1,-199.80011,1,-64.400032,0,0,1,-754.792358,1,416.595734,1,16432.83203,97408,1,1
13187,145,1323579,1,0,0,1,34,1,14.400006,1,-51.800026,1,-100.000038,0,0,1,-749.792419,1,366.596252,1,16373.83301,0,0,0
13187,145,1323579,1,0,0,1,34,1,72.800026,1,-9.800005,1,-89.200035,0,0,1,-529.994629,1,356.996338,1,16461.23242,94156,1,1
13188,146,1323682,1,0,0,1,34,1,66.000031,1,-152.800064,1,-59.000027,0,0,1,-743.192444,1,359.596283,1,16316.43262,0,0,1
13188,146,1323682,1,0,0,1,34,1,51.000023,1,-71.200027,1,-45.000019,0,0,1,-796.191895,1,314.39679,1,16297.83398,90649,1,0
13189,147,1323780,1,0,0,1,34,1,44.000015,1,53.400024,1,-54.400028,0,0,1,-896.190796,1,330.396606,1,16385.23242,0,0,1
13189,147,1323780,1,0,0,1,34,1,45.000019,1,54.800022,1,-103.000038,0,0,1,-818.991699,1,171.398239,1,16538.63086,87961,1,0
13190,148,1323878,1,0,0,1,34,1,-49.600021,1,26.600012,1,-80.800034,0,0,1,-681.393066,1,173.398224,1,16698.62891,0,0,1
13190,148,1323878,1,0,0,1,34,1,-41.400017,1,45.600018,1,-65.000031,0,0,1,-530.994568,1,216.797791,1,16530.23242,85324,1,0
13191,149,1323985,1,0,0,1,34,1,-12.400004,1,78.600029,1,-28.800013,0,0,1,-514.394714,1,162.998352,1,16612.42969,82892,1,1
13191,149,1323985,1,0,0,1,34,1,69.000023,1,-84.400032,1,-47.600018,0,0,1,-623.993652,1,140.598557,1,16396.0332,81536,1,1
13192,150,1324083,1,0,0,1,34,1,168.40007,1,-132.800049,1,-70.000023,0,0,1,-595.393921,1,-109.798874,1,16332.03223,0,0,0
13192,150,1324083,1,0,0,1,34,1,173.40007,1,-61.400021,1,-54.800022,0,0,1,-699.792847,1,-188.798065,1,16526.42969,79872,1,1
13193,151,1324179,1,0,0,1,34,1,112.200035,1,-10.200005,1,-47.000019,0,0,1,-560.194275,1,-89.599083,1,16194.23438,0,0,1
13193,151,1324179,1,0,0,1,34,1,102.200043,1,-124.400047,1,-44.600018,0,0,1,-746.392334,1,-284.99707,1,16534.03125,78284,1,0
13194,152,1324278,1,0,0,1,34,1,93.200035,1,-150.200073,1,-39.400017,0,0,1,-734.392456,1,-202.597931,1,16383.83398,76902,1,1
13194,152,1324278,1,0,0,1,34,1,48.000019,1,-61.800022,1,-72.000031,0,0,1,-660.793213,1,-161.398346,1,16287.43262,75520,1,1
13195,153,1324382,1,0,0,1,34,1,5.800003,1,-89.000038,1,-77.800026,0,0,1,-770.192139,1,-306.396881,1,16483.03125,0,0,0
13195,153,1324382,1,0,0,1,34,1,-24.20001,1,-8.600004,1,-69.200027,0,0,1,-787.791931,1,-241.19754,1,16521.03125,74009,1,1
13196,154,1324479,1,0,0,1,34,1,38.800018,1,30.200012,1,-47.000019,0,0,1,-660.193237,1,-296.596954,1,16393.83203,0,0,1
13196,154,1324479,1,0,0,1,34,1,66.000023,1,36.000015,1,-61.000027,0,0,1,-640.593445,1,-171.598251,1,16504.23047,72908,1,0
13197,155,1324578,1,0,0,1,34,1,85.800041,1,-8.400002,1,-80.600029,0,0,1,-604.793823,1,-198.597961,1,16324.03418,72089,1,1
13197,155,1324578,1,0,0,1,34,1,58.600025,1,-91.40004,1,-65.600029,0,0,1,-555.594299,1,-326.596649,1,16322.43262,70963,1,1
13198,156,1324680,1,0,0,1,34,1,112.000053,1,-7.200005,1,-95.200035,0,0,1,-952.590271,1,-329.7966,1,16311.63379,0,0,0
13198,156,1324680,1,0,0,1,34,1,91.800041,1,109.200043,1,-97.600044,0,0,1,-636.793518,1,-276.997192,1,16135.63574,69939,1,1
13199,157,1324781,1,0,0,1,34,1,160.800064,1,-46.800018,1,-59.600025,0,0,1,-819.391663,1,-312.39679,1,16288.23438,68863,1,1
13199,157,1324781,1,0,0,1,34,1,191.600082,1,23.800009,1,-20.600006,0,0,1,-526.394653,1,-257.197357,1,16647.23047,67916,1,1
13200,158,1324880,1,0,0,1,34,1,169.800064,1,-24.20001,1,12.600005,0,0,1,-485.995056,1,-498.194946,1,16629.0293,0,0,0
13200,158,1324880,1,0,0,1,34,1,139.800049,1,-129.800049,1,5.200003,0,0,1,-735.992432,1,-394.995941,1,16621.63281,67148,1,1
13201,159,1324983,1,0,0,1,34,1,42.800018,1,-16.400007,1,-48.000019,0,0,1,-862.591248,1,-484.195068,1,16213.23535,66355,1,1
13201,159,1324983,1,0,0,1,34,1,1.400001,1,2.800001,1,-78.200027,0,0,1,-806.99176,1,-400.795929,1,16465.43164,65612,1,1
13202,160,1325077,1,0,0,1,34,1,33.200012,1,20.200008,1,-71.600029,0,0,1,-613.59375,1,-271.397217,1,16356.03223,0,0,0
13202,160,1325077,1,0,0,1,34,1,60.400024,1,-54.400028,1,-35.800014,0,0,1,-649.19342,1,-339.996521,1,16229.63379,64665,1,1
13203,161,1325179,1,0,0,1,34,1,80.600037,1,-18.800009,1,-41.400017,0,0,1,-667.393188,1,-647.993347,1,16254.03418,63923,1,1
13203,161,1325179,1,0,0,1,34,1,72.400032,1,-49.800018,1,-24.400007,0,0,1,-498.794922,1,-725.192566,1,16417.23242,63360,1,1
13204,162,1325281,1,0,0,1,34,1,25.20001,1,-137.200073,1,-34.200012,0,0,1,-770.592102,1,-956.59021,1,16477.43164,0,0,1
13204,162,1325281,1,0,0,1,34,1,58.600025,1,14.400005,1,-56.600021,0,0,1,-674.793091,1,-1337.586182,1,15958.4375,62848,1,0
13205,163,1325379,1,0,0,1,34,1,164.000076,1,20.800011,1,-60.800026,0,0,1,-779.592041,1,-2129.77832,1,16297.2334,62694,1,1
13205,163,1325379,1,0,0,1,34,1,342.600128,1,17.600006,1,-86.40004,0,0,1,-605.993835,1,-2051.579102,1,15919.83594,62694,1,1
13206,164,1325481,1,0,0,1,34,1,464.400208,1,110.800049,1,-96.40004,0,0,1,-732.79248,1,-2679.972412,1,16164.23535,62515,1,1
13206,164,1325481,1,0,0,1,34,1,486.200195,1,178.600067,1,-100.800041,0,0,1,-322.196747,1,-2727.172363,1,16120.23438,62668,1,1
13207,165,1325580,1,0,0,1,34,1,398.600128,1,49.800022,1,-63.800022,0,0,1,-510.594757,1,-2807.371582,1,15887.83789,0,0,0
13207,165,1325580,1,0,0,1,34,1,231.800095,1,-41.20002,1,-20.600008,0,0,1,-230.197647,1,-2959.769775,1,16053.83691,62489,1,1
13208,166,1325678,1,0,0,1,34,1,105.400047,1,-213.600067,1,-21.000008,0,0,1,-220.997742,1,-2856.170898,1,16390.0332,62796,1,1
13208,166,1325678,1,0,0,1,34,1,23.000011,1,-309.200134,1,-27.000013,0,0,1,-760.592285,1,-2852.570557,1,16146.43457,63001,1,1
13209,167,1325780,1,0,0,1,34,1,-5.400002,1,-124.000046,1,-61.600029,0,0,1,-767.392212,1,-2875.970459,1,15759.83789,0,0,1
13209,167,1325780,1,0,0,1,34,1,-40.600018,1,-11.400005,1,-104.800041,0,0,1,-843.59137,1,-2980.969482,1,16491.03125,63180,1,0
13210,168,1325878,1,0,0,1,34,1,-7.600002,1,-36.400013,1,-93.400047,0,0,1,-707.992798,1,-2697.372314,1,15764.23926,63283,1,1
13210,168,1325878,1,0,0,1,34,1,33.60001,1,63.600021,1,-90.200035,0,0,1,-679.993103,1,-2885.970947,1,15965.83691,63488,1,1
13211,169,1325979,1,0,0,1,34,1,55.400021,1,130.400055,1,-51.000023,0,0,1,-300.996918,1,-2697.372803,1,16426.03125,0,0,1
13211,169,1325979,1,0,0,1,34,1,17.200008,1,27.200014,1,-37.000015,0,0,1,-485.395081,1,-2832.971191,1,15953.4375,63718,1,0
13212,170,1326077,1,0,0,1,34,1,29.200014,1,-66.600029,1,-22.600008,0,0,1,-336.196564,1,-2829.971191,1,16144.23438,64000,1,1
13212,170,1326077,1,0,0,1,34,1,79.000031,1,-70.400024,1,-28.000011,0,0,1,-522.99469,1,-2778.771729,1,16056.23633,64230,1,1
13213,171,1326181,1,0,0,1,34,1,32.200012,1,-62.000023,1,-62.800026,0,0,1,-596.39386,1,-2813.97168,1,16044.63574,64460,1,1
13213,171,1326181,1,0,0,1,34,1,-37.800018,1,-109.200043,1,-83.200043,0,0,1,-641.193481,1,-2884.370361,1,16197.03516,64665,1,1
13214,172,1326278,1,0,0,1,34,1,-41.000023,1,-39.20002,1,-101.400047,0,0,1,-782.791992,1,-2826.371338,1,15827.03711,0,0,0
13214,172,1326278,1,0,0,1,34,1,10.400004,1,36.800014,1,-83.000031,0,0,1,-725.192566,1,-2822.171387,1,16096.63574,64742,1,1
13215,173,1326376,1,0,0,1,34,1,8.800004,1,45.400017,1,-17.200006,0,0,1,-295.796997,1,-2771.771973,1,16198.23438,65024,1,1
