# TimeStamp,latitude(deg),longitude(deg),height(m),std_n(m),std_e(m),std_d(m)
925608,37.400716667,127.112126667,88.400,14.530,11.590,17.920
926610,37.400726667,127.112133333,88.000,14.500,11.570,17.890
927612,37.400733333,127.112138333,87.600,14.450,11.550,17.830
928613,37.400738333,127.112140000,87.000,14.430,11.550,17.800
929660,37.400741667,127.112140000,86.300,14.420,11.550,17.780
930612,37.400743333,127.112138333,85.500,14.410,11.550,17.760
931617,37.400745000,127.112138333,84.800,14.400,11.550,17.730
932616,37.400743333,127.112135000,84.000,14.780,11.860,18.190
933617,37.400745000,127.112133333,83.300,15.180,12.170,18.660
934662,37.400745000,127.112131667,82.600,15.170,12.150,18.600
935618,37.400745000,127.112128333,81.900,15.190,12.150,18.590
936616,37.400740000,127.112120000,81.100,12.480,10.090,14.930
937622,37.400736667,127.112111667,80.400,12.840,10.390,14.920
938619,37.400726667,127.112098333,79.500,13.270,10.690,14.920
939669,37.400721667,127.112091667,78.800,13.750,10.980,14.920
940619,37.400715000,127.112080000,78.100,14.280,11.280,14.940
941625,37.400708333,127.112070000,77.700,14.790,11.550,14.950
942620,37.400696667,127.112055000,77.300,15.280,11.810,14.960
943627,37.400681667,127.112036667,76.500,16.130,12.350,15.390
944671,37.400676667,127.112030000,76.300,16.880,12.820,15.530
945625,37.400668333,127.112018333,76.100,17.460,13.170,15.590
946623,37.400656667,127.112003333,76.000,17.980,13.470,15.640
947625,37.400640000,127.111981667,75.500,16.180,12.280,13.960
948621,37.400621667,127.111960000,75.200,15.600,12.060,13.340
949674,37.400611667,127.111940000,74.900,15.360,12.120,13.040
950616,37.400605000,127.111928333,74.600,15.160,12.210,12.790
951620,37.400608333,127.111920000,73.900,15.170,12.540,12.740
952622,37.400600000,127.111906667,73.300,14.540,12.260,12.170
953623,37.400586667,127.111891667,72.900,13.340,11.640,11.250
954671,37.400580000,127.111873333,72.800,13.600,12.150,11.510
955624,37.400578333,127.111858333,72.800,13.950,12.710,11.850
956619,37.400583333,127.111845000,72.900,13.280,12.300,11.310
957626,37.400583333,127.111828333,73.000,14.210,13.320,12.120
958622,37.400585000,127.111810000,73.200,13.360,12.650,11.420
959681,37.400586667,127.111798333,73.300,13.380,12.900,11.460
960622,37.400588333,127.111793333,73.500,13.380,12.970,11.470
961631,37.400596667,127.111790000,73.500,13.330,12.970,11.430
962621,37.400600000,127.111781667,73.600,13.510,13.160,11.590
963625,37.400606667,127.111770000,73.400,13.610,13.270,11.690
964679,37.400611667,127.111765000,73.600,13.780,13.400,11.850
965631,37.400620000,127.111763333,73.600,13.850,13.430,11.930
966629,37.400630000,127.111760000,73.800,14.060,13.580,12.140
967630,37.400643333,127.111763333,73.900,14.080,13.540,12.170
968623,37.400650000,127.111763333,73.800,14.090,13.510,12.210
969672,37.400665000,127.111771667,73.800,14.270,13.620,12.390
970623,37.400675000,127.111776667,74.100,14.180,13.470,12.340
971625,37.400680000,127.111783333,74.100,14.080,13.320,12.270
972622,37.400683333,127.111781667,74.200,14.100,13.280,12.310
973631,37.400683333,127.111781667,74.500,14.110,13.250,12.340
974673,37.400686667,127.111788333,74.700,14.160,13.240,12.380
975627,37.400685000,127.111786667,74.900,14.030,13.050,12.250
976627,37.400685000,127.111795000,75.300,14.220,13.130,12.380
977633,37.400676667,127.111796667,75.700,14.160,12.970,12.280
978628,37.400685000,127.111810000,76.100,14.080,12.760,11.930
979679,37.400690000,127.111818333,76.500,14.410,12.960,12.210
980633,37.400690000,127.111825000,77.200,14.380,12.820,12.170
981631,37.400700000,127.111836667,77.800,14.430,12.780,12.200
982636,37.400711667,127.111848333,78.500,14.410,12.690,12.180
983635,37.400723333,127.111860000,79.000,14.280,12.500,12.070
984678,37.400718333,127.111865000,79.100,17.800,15.440,14.920
985637,37.400716667,127.111870000,79.000,18.000,15.510,14.980
986631,37.400710000,127.111871667,79.100,18.340,15.720,15.180
987639,37.400720000,127.111881667,79.600,14.240,12.200,11.820
988637,37.400720000,127.111893333,79.600,18.410,15.700,15.180
989683,37.400713333,127.111895000,79.700,18.730,15.890,15.350
990638,37.400701667,127.111893333,79.700,17.390,14.660,14.190
991639,37.400703333,127.111903333,80.000,14.650,12.260,12.000
992643,37.400698333,127.111925000,80.100,15.060,11.870,12.450
993643,37.400696667,127.111935000,80.100,20.140,15.480,16.600
994689,37.400685000,127.111930000,80.100,20.240,15.360,16.640
995638,37.400668333,127.111918333,80.200,20.360,15.330,16.710
996642,37.400655000,127.111908333,80.300,20.480,15.340,16.770
997646,37.400645000,127.111901667,80.300,20.580,15.380,16.850
998639,37.400640000,127.111901667,80.400,20.690,15.420,16.930
999688,37.400633333,127.111900000,80.300,15.630,11.640,12.900
1000643,37.400615000,127.111886667,80.000,15.560,11.590,12.950
1001643,37.400606667,127.111885000,79.800,15.970,11.900,13.400
1002641,37.400601667,127.111885000,79.600,14.800,11.020,12.520
1003651,37.400598333,127.111886667,79.400,15.200,11.320,12.960
1004689,37.400591667,127.111885000,79.100,17.270,12.880,14.910
1005646,37.400596667,127.111891667,78.800,17.360,12.960,15.160
1006650,37.400598333,127.111896667,78.700,16.000,11.970,14.130
1007652,37.400586667,127.111888333,78.400,15.880,11.890,14.170
1008649,37.400585000,127.111888333,78.100,15.960,11.960,14.380
1009704,37.400578333,127.111883333,78.100,16.130,12.090,14.660
1010649,37.400575000,127.111883333,77.900,16.030,12.030,14.690
1011652,37.400578333,127.111886667,77.800,16.230,12.190,14.990
1012656,37.400576667,127.111885000,77.400,16.340,12.280,15.200
1013655,37.400573333,127.111883333,77.200,16.270,12.230,15.230
1014696,37.400571667,127.111881667,76.800,16.200,12.190,15.270
1015656,37.400575000,127.111885000,76.600,16.120,12.130,15.250
1016652,37.400576667,127.111888333,76.500,16.250,12.230,15.440
